Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.394219,1.890053,4.687693,-0.955074,-1.300600
1,0.430867,1.168613,3.652155,-0.814153,-1.384115
2,0.624166,0.887599,1.111945,-0.794307,-1.867994
3,0.416437,1.890053,4.687693,-0.965161,-1.373149
4,0.624166,0.887599,1.111945,-0.794307,-1.867994
5,0.430867,1.168613,3.652155,-0.814153,-1.384115
6,0.624166,0.887599,1.111945,-0.794307,-1.867994
7,0.317199,1.190659,4.687693,-0.991117,-1.515314
8,0.317199,1.190659,4.687693,-0.991117,-1.515314
9,0.624166,0.887599,1.111945,-0.794307,-1.867994
10,0.317199,1.190659,4.687693,-0.991117,-1.515314
11,0.624166,0.887599,1.111945,-0.794307,-1.867994
12,0.317199,1.190659,4.687693,-0.991117,-1.515314
13,0.624166,0.887599,1.111945,-0.794307,-1.867994
14,0.317199,1.190659,4.687693,-0.991117,-1.515314
15,0.624166,0.887599,1.111945,-0.794307,-1.867994
16,0.317199,1.190659,4.687693,-0.991117,-1.515314
17,0.624166,0.887599,1.111945,-0.794307,-1.867994
18,0.317199,1.190659,4.687693,-0.991117,-1.515314
19,0.624166,0.887599,1.111945,-0.794307,-1.867994
20,0.317199,1.190659,4.961985,-0.992019,-1.089496
21,0.624166,0.887599,1.111945,-0.794307,-1.867994
22,0.317199,1.190659,4.961985,-0.992019,-1.089496
23,0.317199,1.190659,4.687693,-0.991117,-1.515314
24,0.624166,0.887599,1.111945,-0.794307,-1.867994
25,0.317199,1.190659,4.961985,-0.992019,-1.089496
26,0.317199,1.190659,4.687693,-0.991117,-1.515314
27,0.624166,0.887599,1.111945,-0.794307,-1.867994
28,0.643326,0.887599,1.039750,-0.645985,-1.914361
29,0.322247,1.190659,4.961985,-0.980903,-1.104341
30,0.317199,1.190659,4.961985,-0.992019,-1.089496
31,0.624166,0.887599,1.111945,-0.794307,-1.867994
32,0.643326,0.887599,1.039750,-0.645985,-1.914361
33,0.610160,0.880383,1.111945,-0.921057,-1.844236
34,0.317199,1.190659,4.687693,-0.991117,-1.515314
35,0.271491,0.678479,3.772864,-0.997812,-0.988301
36,0.624166,0.887599,1.111945,-0.794307,-1.867994
37,0.643326,0.888943,1.039750,-0.659069,-1.914361
38,0.610160,0.880383,1.111945,-0.921057,-1.844236
39,0.317199,1.190659,4.687693,-0.991117,-1.515314
40,0.317199,1.190659,4.961985,-0.992019,-1.089496
41,0.271491,0.678479,3.772864,-0.997812,-0.988301
42,0.317199,1.190659,4.687693,-0.991117,-1.515314
43,0.317199,1.190659,4.961985,-0.992019,-1.089496
44,0.648608,0.932930,1.039750,-0.966705,-1.987765
45,0.271491,0.678479,3.772864,-0.997812,-0.988301
46,0.317199,1.190659,4.961985,-0.992019,-1.089496
47,0.317199,1.190659,4.687693,-0.991117,-1.515314
48,0.648608,0.932930,1.039750,-0.966705,-1.987765
49,0.271491,0.678479,3.772864,-0.997812,-0.988301
50,0.317199,1.190659,4.961985,-0.992019,-1.089496
51,0.317199,1.190659,4.687693,-0.991117,-1.515314
52,0.648608,0.932930,1.039750,-0.966705,-1.987765
53,0.317199,1.190659,4.961985,-0.992019,-1.089496
54,0.317199,1.190659,4.687693,-0.991117,-1.515314
55,0.648608,0.932930,1.039750,-0.966705,-1.987765
56,0.271491,0.674152,3.772864,-0.998380,-0.988301
57,0.271491,0.678479,3.772864,-0.997812,-0.988301
58,0.317199,1.190659,4.961985,-0.992019,-1.089496
59,0.317199,1.190659,4.687693,-0.991117,-1.515314
60,0.648608,0.932930,1.039750,-0.966705,-1.987765
61,0.271491,0.674152,3.772864,-0.998380,-0.988301
62,0.271491,0.678479,3.772864,-0.997812,-0.988301
63,0.317199,1.190659,4.961985,-0.992019,-1.089496
64,0.317199,1.190659,4.687693,-0.991117,-1.515314
65,0.648608,0.932930,1.039750,-0.966705,-1.987765
66,0.271491,0.674152,3.772864,-0.998380,-0.988301
67,0.271491,0.674152,3.772864,-0.998380,-0.988301
68,0.317199,1.190659,4.961985,-0.992019,-1.089496
69,0.317199,1.190659,4.687693,-0.991117,-1.515314
70,0.648608,0.932930,1.039750,-0.966705,-1.987765
71,0.317199,1.190659,4.687693,-0.991117,-1.515314
72,0.648608,0.932930,1.039750,-0.966705,-1.987765
