Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
1,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
2,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
3,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
4,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
5,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
6,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
7,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
8,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
9,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
10,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
11,0.593286,0.823310,0.868519,-0.992849,-2.066171,1
12,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
13,0.593286,0.823310,0.868519,-0.992849,-2.066171,1
14,0.593286,0.823310,0.868213,-0.992849,-2.066171,1
15,0.593286,0.823310,0.868519,-0.992849,-2.066171,1
16,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
17,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
18,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
19,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
20,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
21,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
22,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
23,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
24,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
25,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
26,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
27,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
28,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
29,0.544679,0.800801,0.846574,-0.989028,-2.101481,1
30,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
31,0.544679,0.800801,0.846574,-0.989028,-2.101481,1
32,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
33,0.544679,0.800801,0.846574,-0.989028,-2.101481,1
34,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
35,0.544679,0.800801,0.846574,-0.989028,-2.101481,1
36,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
37,0.544679,0.800801,0.846574,-0.989028,-2.101481,1
38,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
39,0.544679,0.800801,0.846574,-0.989028,-2.101481,1
40,0.544679,0.800801,0.846075,-0.989028,-2.101481,1
41,0.544679,0.800801,0.846574,-0.989028,-2.101481,1
42,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
43,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
44,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
45,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
46,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
47,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
48,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
49,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
50,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
51,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
52,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
53,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
54,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
55,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
56,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
57,0.595852,0.834295,0.897653,-0.981260,-2.242192,1
58,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
59,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
60,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
61,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
62,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
63,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
64,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
65,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
66,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
67,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
68,0.600532,1.069457,0.833069,-0.904960,-3.313135,1
69,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
70,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
71,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
72,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
73,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
74,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
75,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
76,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
77,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
78,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
79,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
80,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
81,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
82,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
83,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
84,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
85,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
86,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
87,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
88,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
89,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
90,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
91,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
92,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
93,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
94,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
95,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
96,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
97,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
98,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
99,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
100,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
101,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
102,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
103,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
104,0.595986,1.075360,0.897162,-0.903507,-3.320180,1
105,0.595989,1.075360,0.897162,-0.903507,-3.320180,1
106,0.595986,1.075360,0.897150,-0.903507,-3.320180,1
