Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
0,1.98,4.31,100,0.00,0.00,0.14,3.00,10.00,-1
1,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
2,1.98,4.31,100,1.00,2.05,10.00,4.00,4.84,-1
3,1.98,4.31,100,0.00,0.00,0.66,3.00,10.00,-1
4,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
5,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
6,1.98,4.31,100,1.00,4.98,10.00,4.00,3.04,-1
7,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
8,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
9,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
10,1.98,4.31,100,1.00,2.08,10.00,4.00,4.65,-1
11,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
12,1.98,4.31,100,1.00,3.78,0.35,4.00,6.56,-1
13,1.98,4.31,100,0.00,0.00,0.61,3.00,10.00,-1
14,1.98,4.31,100,1.00,4.98,10.00,4.00,3.04,-1
15,1.98,4.31,100,0.00,0.00,0.66,3.00,10.00,-1
16,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
17,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
18,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
19,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
20,1.98,4.31,100,1.00,2.08,10.00,4.00,4.65,-1
21,1.98,4.31,100,1.00,3.78,0.35,4.00,6.56,-1
22,1.98,4.31,100,0.00,0.00,0.61,3.00,10.00,-1
23,1.98,4.31,100,0.00,0.00,0.66,3.00,10.00,-1
24,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
25,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
26,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
27,1.98,4.31,100,1.00,5.66,10.00,4.00,2.89,-1
28,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
29,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
30,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
31,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
32,1.98,4.31,100,1.00,3.78,0.35,4.00,6.56,-1
33,1.98,4.31,100,0.00,0.00,0.61,3.00,10.00,-1
34,1.98,4.31,100,1.00,5.66,10.00,4.00,2.89,-1
35,1.98,4.31,100,0.00,0.00,0.66,3.00,10.00,-1
36,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
37,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
38,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
39,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
40,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
41,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
42,1.98,4.31,100,1.00,3.70,0.34,4.00,6.50,-1
43,1.98,4.31,100,0.00,0.00,0.66,3.00,10.00,-1
44,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
45,1.98,4.31,100,1.00,5.62,10.00,4.00,2.83,-1
46,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
47,1.98,4.31,100,1.00,5.66,10.00,4.00,2.89,-1
48,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
49,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
50,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
51,1.98,4.31,100,1.00,3.70,0.34,4.00,6.50,-1
52,1.98,4.31,100,0.00,0.00,0.66,3.00,10.00,-1
53,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
54,1.98,4.31,100,1.00,5.62,10.00,4.00,2.83,-1
55,1.98,4.31,100,1.00,5.66,10.00,4.00,2.89,-1
56,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
57,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
58,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
59,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
60,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
61,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
62,1.98,4.31,100,0.00,0.00,0.55,3.00,10.00,-1
63,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
64,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
65,1.98,4.31,100,1.00,5.62,10.00,4.00,2.83,-1
66,1.98,4.31,100,1.00,5.66,10.00,4.00,2.89,-1
67,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
68,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
69,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
70,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
71,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
72,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
73,1.98,4.31,100,0.00,0.00,0.58,3.00,10.00,-1
74,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
75,1.98,4.31,100,0.00,0.00,0.55,3.00,10.00,-1
76,1.98,4.31,100,1.00,5.56,10.00,4.00,2.84,-1
77,1.98,4.31,100,1.00,5.66,10.00,4.00,2.89,-1
78,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
79,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
80,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
81,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
82,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
83,1.98,4.31,100,0.00,0.00,0.58,3.00,10.00,-1
84,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
85,1.98,4.31,100,0.00,0.00,0.61,3.00,10.00,-1
86,1.98,4.31,100,0.00,0.00,0.55,3.00,10.00,-1
87,1.98,4.31,100,1.00,5.58,10.00,4.00,2.79,-1
88,1.98,4.31,100,1.00,5.66,10.00,4.00,2.89,-1
89,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
90,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
91,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
92,1.98,4.31,100,0.00,0.00,0.58,3.00,10.00,-1
93,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
94,1.98,4.31,100,0.00,0.00,0.61,3.00,10.00,-1
95,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
96,1.98,4.31,100,0.00,0.00,0.55,3.00,10.00,-1
97,1.98,4.31,100,1.00,5.58,10.00,4.00,2.79,-1
98,1.98,4.31,100,1.00,4.33,10.00,4.00,3.09,-1
99,1.98,4.31,100,1.00,4.31,10.00,4.00,3.11,-1
100,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
101,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
102,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
103,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
104,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
105,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
106,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
107,1.98,4.31,100,1.00,3.57,0.35,4.00,6.48,-1
108,1.98,4.31,100,1.00,3.53,0.35,4.00,6.47,-1
109,1.98,4.31,100,1.00,3.57,0.34,4.00,6.49,-1
110,1.98,4.31,100,1.00,1.27,0.09,4.00,8.35,-1
111,1.98,4.31,100,1.00,0.62,0.04,4.00,6.47,-1
112,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
113,1.98,4.31,100,0.00,0.00,0.15,3.00,10.00,-1
114,1.98,4.31,100,1.00,0.62,0.01,4.00,6.80,-1
115,1.98,4.31,100,1.00,3.58,0.35,4.00,6.47,-1
116,1.98,4.31,100,1.00,3.58,0.34,4.00,6.49,-1
