Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.507445,2.142018,3.711743,-0.996651,-1.577145,1
1,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
2,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
3,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
4,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
5,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
6,1.982255,2.757210,4.931945,-0.000000,-6.916198,0
7,0.507445,2.142018,3.711743,-0.996651,-1.577145,1
8,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
9,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
10,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
11,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
12,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
13,1.982255,2.757210,4.931945,-0.000000,-6.916198,0
14,0.507445,2.142018,3.711743,-0.996651,-1.577145,1
15,1.982255,2.757210,4.931945,-0.000000,-6.916198,0
16,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
17,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
18,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
19,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
20,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
21,0.507445,2.142018,3.711743,-0.996651,-1.577145,1
22,1.982255,2.757210,4.931945,-0.000000,-6.916198,0
23,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
24,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
25,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
26,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
27,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
28,0.507445,2.147240,3.711743,-0.998269,-1.577145,1
29,1.989647,2.907641,4.100944,-0.000000,-6.952364,0
30,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
31,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
32,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
33,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
34,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
35,0.507445,2.147240,3.711743,-0.998269,-1.577145,1
36,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
37,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
38,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
39,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
40,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
41,1.989647,2.907641,4.100944,-0.000000,-6.952364,0
42,0.507445,2.147240,3.711743,-0.998269,-1.577145,1
43,1.989647,2.907641,4.100944,-0.000000,-6.952364,0
44,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
45,1.381912,1.902365,0.186643,-0.348631,-6.105902,0
46,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
47,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
48,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
49,0.507445,2.147240,3.711743,-0.998269,-1.577145,1
50,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
51,1.381912,1.902365,0.186643,-0.348631,-6.105902,0
52,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
53,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
54,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
55,1.997163,1.898370,4.209761,-0.000000,-6.977739,0
56,0.507445,2.147240,3.711743,-0.998269,-1.577145,1
57,1.997163,1.898370,4.209761,-0.000000,-6.977739,0
58,0.743437,1.274493,0.742933,-0.684710,-3.688171,1
59,1.381912,1.902365,0.186643,-0.348631,-6.105902,0
60,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
61,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
62,1.390348,1.898073,0.147095,-0.269769,-6.201408,0
63,1.997163,1.898370,4.209761,-0.000000,-6.977739,0
64,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
65,0.743437,1.270657,0.742933,-0.725680,-3.688171,1
66,1.381912,1.902365,0.186643,-0.348631,-6.105902,0
67,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
68,1.390348,1.898073,0.147095,-0.269769,-6.201408,0
69,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
70,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
71,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
72,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
73,0.743437,1.270657,0.742933,-0.725680,-3.688171,1
74,1.381912,1.902365,0.186643,-0.348631,-6.105902,0
75,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
76,1.390348,1.898073,0.147095,-0.269769,-6.201408,0
77,1.910621,2.596013,0.616039,-0.000000,-6.559744,0
78,1.997163,1.898370,4.209761,-0.000000,-6.977739,0
79,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
80,0.342825,0.766992,1.564176,-0.926640,-1.988798,1
81,0.593920,1.440541,2.155203,-0.894066,-3.121043,1
82,0.743437,1.270657,0.742933,-0.725680,-3.688171,1
83,1.381912,1.902365,0.186643,-0.348631,-6.105902,0
84,1.384096,1.898073,0.147095,-0.280907,-6.164078,0
85,1.390348,1.898073,0.147095,-0.269769,-6.201408,0
86,1.997163,1.898370,4.209761,-0.000000,-6.977739,0
87,1.913752,1.900193,0.465533,-0.000000,-6.633256,0
88,1.997819,2.596013,0.616039,-0.000000,-6.902929,0
