Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.788629,2.206283,1.917932,-0.986866,-2.115706
1,0.601982,2.731370,3.095421,-0.822737,-1.823045
2,0.460713,2.944263,4.413264,-0.985627,-1.475509
3,0.554749,1.167897,1.682841,-0.705672,-0.327374
4,0.472391,1.123483,2.689791,-0.991483,-1.505509
5,0.788629,2.207097,1.913044,-0.986902,-2.115706
6,0.788629,2.206283,1.917932,-0.986866,-2.115706
7,0.601982,2.731370,3.095421,-0.822737,-1.823045
8,0.460713,2.944263,4.413264,-0.985627,-1.475509
9,0.461084,2.944263,4.360160,-0.880832,-1.479730
10,0.554749,1.165548,1.682841,-0.730548,-0.327410
11,0.554749,1.167897,1.682841,-0.705672,-0.327374
12,0.472391,1.123483,2.689791,-0.991483,-1.505509
13,0.788629,2.207097,1.913044,-0.986902,-2.115706
14,0.788629,2.206283,1.917932,-0.986866,-2.115706
15,0.601982,2.731370,3.095421,-0.822737,-1.823045
16,0.460713,2.944263,4.413264,-0.985627,-1.475509
17,0.471256,1.123483,2.689791,-0.979685,-1.502288
18,0.461084,2.944263,4.360160,-0.880832,-1.479730
19,0.529630,1.125646,1.682841,-0.745864,-0.412493
20,0.414044,1.077892,2.689791,-0.799461,-0.168560
21,0.554749,1.165548,1.682841,-0.730548,-0.327410
22,0.554749,1.167897,1.682841,-0.705672,-0.327374
23,0.472391,1.123483,2.689791,-0.991483,-1.505509
24,0.788629,2.207097,1.913044,-0.986902,-2.115706
25,0.788629,2.206283,1.917932,-0.986866,-2.115706
26,0.471256,1.123483,2.689791,-0.979685,-1.502288
27,0.704678,2.383011,2.504942,-0.976136,-2.025617
28,0.460713,2.936155,4.413264,-0.986379,-1.475509
29,0.601982,2.731370,3.095421,-0.822737,-1.823045
30,0.461084,2.944263,4.360160,-0.880832,-1.479730
31,0.460713,2.944263,4.413264,-0.985627,-1.475509
32,0.460713,2.944263,4.243911,-0.766330,-1.480471
33,0.325362,1.099110,4.855171,-0.982541,-1.111616
34,0.414044,1.077892,2.689791,-0.799461,-0.168560
35,0.548180,1.165548,1.609745,-0.728918,-1.408160
36,0.529630,1.125646,1.682841,-0.745864,-0.412493
37,0.567939,1.416361,2.257530,-0.875310,-3.032908
38,0.789120,2.207097,1.913044,-0.999838,-2.116886
39,0.788629,2.207097,1.913044,-0.986902,-2.115706
40,0.389414,0.719028,1.697699,-0.999486,-2.077119
41,0.788629,2.206283,1.917932,-0.986866,-2.115706
42,0.472391,1.123483,2.689791,-0.991483,-1.505509
43,0.704678,2.379804,2.513092,-0.977042,-2.025617
44,0.471256,1.123483,2.689791,-0.979685,-1.502288
45,0.460713,2.936052,4.413264,-0.986389,-1.475509
46,0.704678,2.383011,2.504942,-0.976136,-2.025617
47,0.460713,2.936155,4.413264,-0.986379,-1.475509
48,0.460713,2.944263,4.413264,-0.985627,-1.475509
49,0.601982,2.731370,3.095421,-0.822737,-1.823045
50,0.461084,2.944263,4.360160,-0.880832,-1.479730
51,0.567939,1.416361,2.257530,-0.875310,-3.032908
52,0.789120,2.207097,1.913044,-0.999838,-2.116886
53,0.789120,2.207097,1.917698,-0.999838,-2.116886
54,0.788629,2.207097,1.913044,-0.986902,-2.115706
55,0.389414,0.719028,1.697699,-0.999486,-2.077119
56,0.788629,2.206283,1.917932,-0.986866,-2.115706
57,0.788629,2.206283,1.913277,-0.986866,-2.115706
58,0.472391,1.123483,2.689791,-0.991483,-1.505509
59,0.788629,2.206283,1.957474,-0.983662,-2.115706
60,0.460713,2.936052,4.413264,-0.986389,-1.475509
61,0.704678,2.379804,2.573851,-0.981880,-2.025617
62,0.460713,2.936155,4.413264,-0.986379,-1.475509
63,0.460713,2.936155,4.412974,-0.986379,-1.475509
64,0.460713,2.944263,4.413264,-0.985627,-1.475509
65,0.704678,2.379804,2.513092,-0.977042,-2.025617
66,0.567939,1.416361,2.257530,-0.875310,-3.032908
67,0.789120,2.207097,1.913044,-0.999838,-2.116886
68,0.789120,2.207097,1.917698,-0.999838,-2.116886
