Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,1.976208,0.560073,0.713199,-0.000000,-6.894367,0
1,0.788629,2.206283,1.917932,-0.986866,-2.115706,1
2,1.864111,1.144428,1.196311,-0.000000,-6.416495,0
3,1.266698,2.294001,0.313715,-0.014636,-4.928484,0
4,1.696154,2.872787,0.955040,-0.000000,-5.520358,0
5,1.969105,2.237522,2.690183,-0.000000,-6.856683,0
6,1.889747,0.756864,2.390977,-0.000000,-6.537488,0
7,1.949802,1.216440,2.110355,-0.000000,-6.788987,0
8,0.690152,0.721932,0.330561,-0.064410,-1.997238,0
9,0.697559,2.332202,0.826110,-0.023320,-2.002802,0
10,0.601982,2.731370,3.095421,-0.822737,-1.823045,1
11,0.460713,2.944263,4.413264,-0.985627,-1.475509,1
12,1.821533,0.844970,1.281434,-0.000000,-6.248136,0
13,1.235377,1.293590,0.483362,-0.000126,-3.803683,0
14,1.560898,2.544330,0.048257,-0.000823,-3.448119,0
15,1.657220,2.539802,1.000068,-0.000000,-5.363355,0
16,1.838382,2.383011,2.523306,-0.000000,-6.321895,0
17,0.611662,2.787282,3.492200,-0.045452,-1.843162,0
18,0.326603,0.803890,0.507069,-0.247395,-1.120214,0
19,0.829164,1.881803,0.392366,-0.300476,-0.807582,0
20,0.455460,1.123483,3.497008,-0.217013,-1.470510,0
21,1.982724,2.535280,0.418717,-0.766062,-0.052351,0
22,0.554749,1.167897,1.682841,-0.705672,-0.327374,1
23,1.800000,1.799398,2.011764,-0.000000,-5.711389,0
24,1.734841,1.734326,3.933704,-0.000000,-5.896306,0
25,1.790160,2.849133,4.266272,-0.000000,-6.127842,0
26,1.233868,2.411517,1.497206,-0.000000,-3.692572,0
27,1.366266,2.784860,0.102658,-0.000254,-2.423221,0
28,0.954922,0.863239,0.751640,-0.000000,-2.719800,0
29,1.065575,0.836295,0.383275,-0.000000,-3.139576,0
30,1.630779,1.260067,2.149575,-0.000000,-5.054751,0
31,1.573734,2.888490,1.242625,-0.000000,-4.945222,0
32,1.816506,2.394563,4.356583,-0.000000,-6.238349,0
33,0.403071,1.081707,1.021965,-0.176809,-1.331622,0
34,0.493290,0.819856,0.659962,-0.603900,-0.047104,0
35,0.631392,1.284901,0.520715,-0.190522,-0.142239,0
36,0.577037,1.017125,1.219463,-0.551272,-0.047677,0
37,1.569894,1.386520,4.104021,-0.000000,-5.226316,0
38,1.162490,1.525783,1.696076,-0.000000,-3.385955,0
39,0.627918,2.419031,3.809167,-0.000003,-1.864406,0
40,1.064467,1.257097,1.330362,-0.000000,-3.091367,0
41,1.517017,2.169037,3.500523,-0.000000,-5.009520,0
42,1.225058,1.064293,1.697699,-0.000000,-3.578915,0
43,1.353021,1.711491,2.735071,-0.000000,-3.916489,0
44,1.813555,1.835321,2.713290,-0.000000,-6.227978,0
45,1.800472,0.885004,3.418788,-0.000000,-6.171378,0
46,0.387642,2.905851,3.374807,-0.032740,-1.297965,0
47,0.282458,2.240488,4.855171,-0.066526,-1.041825,0
48,0.624694,1.497254,0.848820,-0.187866,-0.140482,0
49,0.246477,0.641434,1.434344,-0.522858,-0.037447,0
50,1.532588,0.912948,4.618704,-0.000000,-5.077573,0
51,1.123360,2.721019,2.428723,-0.000000,-3.158286,0
52,0.923687,2.453052,2.764955,-0.000000,-2.573097,0
53,0.900654,1.843596,2.481501,-0.000000,-2.467766,0
54,1.496898,1.136834,3.624987,-0.000000,-4.926676,0
55,1.221742,1.530619,2.423990,-0.000000,-3.465757,0
56,1.228453,2.377766,3.995541,-0.000000,-3.777365,0
57,1.242145,2.800612,4.189914,-0.000000,-3.833267,0
58,1.795742,0.908215,3.240592,-0.000000,-6.146647,0
59,0.333063,2.205810,3.437602,-0.018837,-1.167071,0
