Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,1.271668,2.031287,0.368950,-0.457968,-4.998552,0
1,0.961941,2.397309,1.464030,-0.871912,-2.745276,1
2,1.979542,1.989019,0.025502,-0.467196,-4.765488,0
3,1.928724,1.411869,0.026105,-0.000002,-6.692140,0
4,1.999884,1.275623,0.006155,-0.000000,-6.986983,0
5,0.647398,1.396154,2.104163,-0.983984,-1.922542,1
6,1.999784,1.414958,0.020934,-0.000001,-6.986497,0
7,0.595983,1.602695,2.545046,-0.947227,-2.702519,1
8,0.884876,1.748679,1.108211,-0.605714,-4.200697,1
9,1.910062,2.024918,0.027732,-0.283200,-6.629643,0
10,1.278374,2.033617,0.378776,-0.505887,-4.593610,0
11,1.271668,2.027756,0.368485,-0.463177,-4.884099,0
12,0.632148,1.396154,2.104163,-0.998515,-1.886178,1
13,1.910062,2.029453,0.053443,-0.422493,-6.520798,0
14,1.428989,2.218797,0.403064,-0.537135,-4.252846,0
15,0.657433,1.421767,2.104163,-0.980427,-1.935389,1
16,0.968301,2.397309,1.442042,-0.856816,-2.768690,1
17,0.805745,1.276254,0.401843,-0.757797,-3.996517,1
